customer_id,name,age,gender,phone,location,signup_date,loyalty_tier
CUST0001,Ekbal Master,36,Male,4400172610,Chennai,2025-09-16,Silver
CUST0002,Divya Nagar,28,Female,03294388356,Nellore,2024-09-15,Gold
CUST0003,Rajata Karnik,45,Male,8018629799,Nellore,2025-06-09,Platinum
CUST0004,Raagini Chad,55,Female,1326211426,Nellore,2025-01-21,Bronze
CUST0005,Fitan Palla,34,Female,06298804356,Nellore,2024-07-19,Bronze
CUST0006,Aayush Mahajan,45,Female,1687618476,Nellore,2025-10-07,Bronze
CUST0007,Yachana Thaman,39,Male,04930362812,Nellore,2025-01-14,Silver
CUST0008,Aarna Mani,44,Female,9639684804,Hyderabad,2024-07-05,Bronze
CUST0009,Simon Shere,22,Male,3204491277,Bangalore,2025-02-15,Gold
CUST0010,Rachit Walia,34,Female,05739972436,Hyderabad,2026-01-18,Bronze
CUST0011,Upadhriti Mahal,26,Female,00596327953,Nellore,2025-07-09,Gold
CUST0012,Balvan Natarajan,32,Female,2499672592,Nellore,2025-05-10,Silver
CUST0013,Simon Choudhury,43,Female,04784109425,Bangalore,2024-09-23,Silver
CUST0014,Shaurya Brar,60,Male,+916510387706,Hyderabad,2025-05-26,Gold
CUST0015,Kalpit Khanna,24,Female,4642491341,Nellore,2024-06-07,Bronze
CUST0016,Nicholas Banik,37,Female,+919081427551,Chennai,2025-08-19,Bronze
CUST0017,Neelima Agarwal,33,Female,+914052505912,Nellore,2026-01-13,Gold
CUST0018,Tripti Ganesh,23,Other,+910922564320,Chennai,2025-12-20,Bronze
CUST0019,Logan De,18,Male,3162725109,Chennai,2025-11-15,Silver
CUST0020,Tanveer Sahota,52,Female,+914840232544,Nellore,2025-05-26,Bronze
CUST0021,Ojasvi Parekh,56,Female,04177621934,Nellore,2025-11-20,Bronze
CUST0022,Chanchal Hegde,34,Female,06093790035,Chennai,2026-01-26,Silver
CUST0023,Vincent Wadhwa,58,Female,+913643196052,Nellore,2024-11-27,Silver
CUST0024,Ubika Loke,51,Female,5561253444,Chennai,2025-09-21,Bronze
CUST0025,Rachit Devan,42,Female,3208129050,Nellore,2024-10-11,Bronze
CUST0026,Nitara Mittal,20,Female,03749479471,Nellore,2024-08-04,Silver
CUST0027,Ishaan Edwin,59,Female,02501107161,Nellore,2026-02-28,Silver
CUST0028,Krisha Bedi,31,Female,03555271810,Nellore,2025-11-17,Bronze
CUST0029,Samarth Chakrabarti,60,Male,09380383374,Hyderabad,2024-10-27,Gold
CUST0030,Harish Tella,54,Female,+915601827877,Chennai,2025-01-05,Silver
CUST0031,Liam Mallick,54,Male,0854556108,Nellore,2026-01-07,Bronze
CUST0032,Vivaan Shan,31,Female,02101675040,Chennai,2025-07-08,Gold
CUST0033,Neel Bhardwaj,18,Female,+916236257047,Nellore,2024-10-17,Bronze
CUST0034,Nilima Srinivas,26,Female,+917828341236,Bangalore,2024-08-10,Bronze
CUST0035,Ansh Tata,42,Male,+914665947544,Nellore,2024-09-14,Platinum
CUST0036,Qushi Jani,61,Female,+910783284901,Nellore,2025-06-10,Bronze
CUST0037,Vivaan Ravel,33,Female,+918330445672,Hyderabad,2024-11-19,Silver
CUST0038,Brinda Bajwa,21,Female,02717844406,Bangalore,2026-03-05,Bronze
CUST0039,Damini Som,28,Female,8734412183,Bangalore,2025-11-26,Bronze
CUST0040,Mohini Choudhry,47,Male,+915217978460,Nellore,2024-05-17,Silver
CUST0041,Alka Chopra,36,Female,03389059460,Hyderabad,2024-11-12,Silver
CUST0042,Reva Butala,24,Male,+910962780127,Nellore,2024-05-15,Bronze
CUST0043,Darsh Lal,20,Female,07859992725,Hyderabad,2026-02-08,Bronze
CUST0044,Edhitha Murthy,41,Female,08806711056,Hyderabad,2025-07-21,Bronze
CUST0045,Damini Lall,48,Female,03501974125,Bangalore,2026-03-25,Bronze
CUST0046,Liam Pandit,35,Female,07395325523,Bangalore,2026-02-02,Gold
CUST0047,Osha Nair,32,Female,5749157331,Chennai,2026-03-18,Silver
CUST0048,Avni Kala,42,Female,+919977683242,Nellore,2025-06-22,Gold
CUST0049,Rohan Tak,58,Female,6181373574,Nellore,2025-07-17,Bronze
CUST0050,Yashvi Gera,50,Male,9924597563,Chennai,2025-11-12,Silver
CUST0051,Ekavir Sarna,46,Female,+913074406756,Nellore,2025-04-18,Gold
CUST0052,Nisha Kunda,45,Female,06260462993,Nellore,2025-05-08,Silver
CUST0053,Faraj Mody,18,Female,8535087148,Hyderabad,2025-12-03,Silver
CUST0054,Chandran Kannan,46,Female,08630633522,Chennai,2025-11-09,Bronze
CUST0055,Krish Soman,34,Male,3287515741,Hyderabad,2025-02-17,Gold
